id,date_heure,cafe_id,methode,recette,dose_g,eau_g,mouture_dial,temperature_c,temps_total_s,temps_ecoulement_s,volume_extrait_ml,eau_ajoutee_ml,lait_ml,agitation_nb,tasse,eau_prechauffee,note_sur_10,diagnostic,descripteurs,commentaire
e1,2026-06-29T13:21,c1,Brikka,Brikka classique,14,100,,80,241,34,90,,,,Loveramics Flat White Egg,1,4.0,Sur-extrait (amer),sucre roux|chocolat noir|brûlé,
e2,2026-06-30T14:18,c3,Brikka,Brikka classique,14,100,0.9.3,90,238,23,90,,,,Loveramics Flat White Egg,1,4.5,Acide ET amer (extraction inégale),amande|cacao,
e3,2026-07-01T08:22,c5,Brikka,Brikka classique,14,100,0.9.4,90,317,42,90,,,,Loveramics Flat White Egg,1,4.0,Brûlé (défaut du sachet),tabac|terreux|brûlé,"Goût de cendre, aucun réglage n'y changera rien, sachet abandonné."
e4,2026-07-01T09:59,c3,Switch,The Coffee Chronicler's Recipe,15,225,1.2.4,92,200,57,191,,,,Classic Mug,,3.5,Acide ET amer (extraction inégale),cacao|fruits mûrs|banane,
e5,2026-07-02T08:16,c5,Brikka,Brikka classique,14,100,0.9.4,90,304,35,90,,,,Loveramics Espresso Egg,1,3.0,Brûlé (défaut du sachet),brûlé|tabac,
e6,2026-07-02T13:09,c4,Switch,The Coffee Chronicler's Recipe,15,225,1.2.4,92,199,53,189,,,,Classic Mug,,4.0,Sur-extrait (amer),chocolat noir|fruits rouges|noisette|brûlé,"Sorti brûlant, je pense que j'ai laissé trop longtemps sur le feu."
e7,2026-07-02T15:29,c5,Brikka,Brikka classique,14,100,0.9.4,90,252,38,90,,,,Loveramics Flat White Egg,1,4.0,Brûlé (défaut du sachet),terreux|brûlé|tabac,
e8,2026-07-03T14:58,c5,Brikka,Brikka classique,14,100,0.9.4,85,232,25,90,,,,Loveramics Espresso Egg,1,3.0,Brûlé (défaut du sachet),terreux|réglisse|brûlé,
e9,2026-07-03T16:05,c4,Brikka,Brikka classique,14,100,0.9.4,80,314,37,90,,,,Loveramics Flat White Egg,1,5.0,Sur-extrait (amer),fruits rouges|caramel|brûlé,
e10,2026-07-06T15:41,c4,Switch,The Coffee Chronicler's Recipe,15,225,1.4.0,92,218,67,188,,,,Classic Mug,,5.0,Sur-extrait (amer),noisette|caramel|fruits rouges|brûlé,
e11,2026-07-07T07:17,c1,Brikka,Brikka classique,14,100,,90,303,40,90,,,,Loveramics Espresso Egg,1,5.0,Sur-extrait (amer),chocolat noir|sucre roux|brûlé,
e12,2026-07-07T08:26,c4,Switch,The Coffee Chronicler's Recipe,15,225,1.3.1,92,198,65,196,,,,Classic Mug,,4.5,Sur-extrait (amer),caramel|chocolat noir|brûlé,
e13,2026-07-07T14:55,c3,Brikka,Brikka classique,14,100,0.9.1,80,313,39,90,,,,Loveramics Flat White Egg,,5.0,Astringent,amande|banane|brûlé,
e14,2026-07-08T07:00,c4,Switch,The Coffee Chronicler's Recipe,15,225,1.5.0,92,196,47,189,,,,Classic Mug,,5.0,Équilibré,fruits rouges|noisette,
e15,2026-07-08T08:03,c1,Brikka,Brikka classique,14,100,,90,297,27,90,,,,Loveramics Flat White Egg,,5.0,Équilibré,chocolat noir|rond|sucre roux,"Acide au début puis amer, lit mal aplani je pense."
e16,2026-07-08T13:15,c3,Switch,The Coffee Chronicler's Recipe,15,225,1.3.1,92,203,69,189,,,,Classic Mug,,4.5,Astringent,cacao|amande|brûlé,"Pas terrible, mais je note tout pour comparer."
e17,2026-07-09T09:59,c4,Switch,The Coffee Chronicler's Recipe (Sweet),15,225,1.5.0,92,199,51,196,,,,Classic Mug,,5.5,Équilibré,noisette|caramel,
e18,2026-07-11T16:34,c4,Switch,Le Costaud (Bloom),15,225,1.1.2,96,219,61,187,,,3,Classic Mug,,5.0,Acide ET amer (extraction inégale),fruits rouges|caramel|miel,"Sorti brûlant, je pense que j'ai laissé trop longtemps sur le feu."
e19,2026-07-12T08:40,c4,Switch,The Coffee Chronicler's Recipe,15,225,1.4.2,92,210,70,187,,,,Classic Mug,,5.0,Sur-extrait (amer),chocolat noir|caramel|brûlé,
e20,2026-07-12T15:35,c4,Switch,The Coffee Chronicler's Recipe,15,225,1.3.3,92,185,76,189,,,,Classic Mug,,5.5,Sur-extrait (amer),noisette|chocolat noir|brûlé,
e21,2026-07-13T07:13,c4,Switch,Le Costaud (Immersion),15,225,1.3.2,94,183,63,195,,,3,Classic Mug,,6.5,Astringent,noisette|caramel|brûlé,
e22,2026-07-13T09:21,c4,Switch,The Coffee Chronicler's Recipe,15,225,1.4.2,92,185,83,191,,,,Classic Mug,,5.5,Astringent,chocolat noir|fruits rouges|brûlé,
e23,2026-07-13T16:55,c2,Brikka,Brikka classique,12,85,,90,254,34,78,,,,Loveramics Espresso Egg,1,5.0,Astringent,sirupeux|chocolat noir|brûlé,
e24,2026-07-14T07:07,c4,Switch,The Coffee Chronicler's Recipe,15,225,1.4.2,92,203,80,192,,,,Classic Mug,,6.0,Sur-extrait (amer),fruits rouges|caramel|brûlé,"Le jacquier commence à sortir, très plaisant."
e25,2026-07-14T09:00,c3,Brikka,Brikka classique,14,100,1.0.2,85,285,24,90,,,,Loveramics Espresso Egg,1,6.0,Sur-extrait (amer),banane|cacao|brûlé,
e26,2026-07-15T15:18,c3,Switch,Le Costaud (Bloom),15,225,1.3.2,94,214,63,188,,,3,Classic Mug,,6.5,Équilibré,fruits mûrs|amande,
e27,2026-07-19T09:28,c3,Switch,Le Costaud (Immersion),15,225,1.4.2,92,155,56,187,,,3,Classic Mug,,6.5,Sur-extrait (amer),jacquier|fruits mûrs|brûlé,
e28,2026-07-19T13:14,c4,Switch,The Coffee Chronicler's Recipe,15,225,1.4.0,92,212,79,196,,,,Classic Mug,,6.5,Astringent,miel|fruits rouges|caramel|brûlé,"Mieux qu'hier, l'amertume recule."
